"annotation_id","annotator","comment","created_at","id","lead_time","product_name","rating","sentiment","updated_at","username"
27,"1","Màu sắc:đúng
Đúng với mô tả:đúng
Chất liệu:ko mềm mịn

Shipper thân thiện , hàng đúng vs mô tả cx đc","2024-04-13T17:24:52.750878Z",2,74.74000000000001,"Mũ Beanie Giả Tóc Giả Hóa Trang Halloween Họa Tiết Đầu Lâu Spiky Vui Nhộn Phong Cách Hip Hop Thời Trang Cho Nam Và Nữ",3,"No Spam","2024-04-14T12:07:39.351720Z","tmngc497"
29,"1","Màu sắc:đen trắng
Đúng với mô tả:đúng
Chất liệu:vải mềm ,mịn

Tốt vãi sít","2024-04-14T12:07:49.594771Z",3,8.235,"Mũ Beanie Giả Tóc Giả Hóa Trang Halloween Họa Tiết Đầu Lâu Spiky Vui Nhộn Phong Cách Hip Hop Thời Trang Cho Nam Và Nữ",5,"Spam","2024-04-14T12:07:49.594771Z","cangtrn164"
28,"1","Chất liệu:vài
Đúng với mô tả:đúng
Màu sắc:đúng

Hình ảnh và video chỉ mang tính chất nhận xu nhé mua về dùng ok","2024-04-14T12:07:25.786929Z",4,3.288,"Mũ Beanie Giả Tóc Giả Hóa Trang Halloween Họa Tiết Đầu Lâu Spiky Vui Nhộn Phong Cách Hip Hop Thời Trang Cho Nam Và Nữ",5,"Spam","2024-04-14T12:07:25.786929Z","d5xsyl2tic"
30,"1","Màu sắc:10₫
Đúng với mô tả:10₫
Chất liệu:2 từ ( Uy Tín )

10₫ K có Nhưng.!","2024-04-14T12:07:57.194759Z",5,5.699,"Mũ Beanie Giả Tóc Giả Hóa Trang Halloween Họa Tiết Đầu Lâu Spiky Vui Nhộn Phong Cách Hip Hop Thời Trang Cho Nam Và Nữ",5,"Spam","2024-04-14T12:07:57.194759Z","huyduc511"
31,"1","....hàng tốt ngon xài ok hơi dễ bẩn","2024-04-14T12:08:29.692419Z",6,4.296,"Mũ Beanie Giả Tóc Giả Hóa Trang Halloween Họa Tiết Đầu Lâu Spiky Vui Nhộn Phong Cách Hip Hop Thời Trang Cho Nam Và Nữ",5,"No Spam","2024-04-14T12:08:29.692419Z","thanh.phuc1"
32,"1","Đúng với mô tả:đúng
Màu sắc:hợp
Chất liệu:ok","2024-04-14T12:10:05.735113Z",7,8.125,"Mũ Beanie Giả Tóc Giả Hóa Trang Halloween Họa Tiết Đầu Lâu Spiky Vui Nhộn Phong Cách Hip Hop Thời Trang Cho Nam Và Nữ",5,"Spam","2024-04-14T12:10:05.735113Z","kimqunh957"
33,"1","Cũng hay hay à không cần tốn tiền đi làm tóc hehe😁","2024-04-14T12:10:13.079235Z",8,6.282,"Mũ Beanie Giả Tóc Giả Hóa Trang Halloween Họa Tiết Đầu Lâu Spiky Vui Nhộn Phong Cách Hip Hop Thời Trang Cho Nam Và Nữ",5,"No Spam","2024-04-14T12:10:13.079235Z","3zd684zw59"
34,"1","Cái mũ này hay ho phết, nhìn xa rất giống tóc thật hoặc nhìn kỹ mới phát hiện ra tóc giả.","2024-04-14T12:10:19.801829Z",9,5.494,"Mũ Beanie Giả Tóc Giả Hóa Trang Halloween Họa Tiết Đầu Lâu Spiky Vui Nhộn Phong Cách Hip Hop Thời Trang Cho Nam Và Nữ",5,"No Spam","2024-04-14T12:10:19.801829Z","duytiennguye"
35,"1","Chất liệu:mềm,đội vô ấm","2024-04-14T12:10:31.889245Z",10,10.578,"Mũ Beanie Giả Tóc Giả Hóa Trang Halloween Họa Tiết Đầu Lâu Spiky Vui Nhộn Phong Cách Hip Hop Thời Trang Cho Nam Và Nữ",5,"No Spam","2024-04-14T12:10:31.889245Z","qbubxn08w2"
36,"1","ok shop","2024-04-14T12:11:00.680141Z",11,14.294,"Mũ Beanie Giả Tóc Giả Hóa Trang Halloween Họa Tiết Đầu Lâu Spiky Vui Nhộn Phong Cách Hip Hop Thời Trang Cho Nam Và Nữ",5,"Spam","2024-04-14T16:42:18.649914Z","bncode"
37,"1","Đất của","2024-04-14T12:11:09.072326Z",12,6.51,"Mũ Beanie Giả Tóc Giả Hóa Trang Halloween Họa Tiết Đầu Lâu Spiky Vui Nhộn Phong Cách Hip Hop Thời Trang Cho Nam Và Nữ",5,"Spam","2024-04-14T12:11:09.072326Z","thitraiht680"
38,"1","Ok","2024-04-14T12:11:34.776064Z",13,5.037,"Mũ Beanie Giả Tóc Giả Hóa Trang Halloween Họa Tiết Đầu Lâu Spiky Vui Nhộn Phong Cách Hip Hop Thời Trang Cho Nam Và Nữ",5,"Spam","2024-04-15T04:06:10.836523Z","finn_shop"
39,"1","Ok","2024-04-14T12:11:38.783653Z",14,2.431,"Mũ Beanie Giả Tóc Giả Hóa Trang Halloween Họa Tiết Đầu Lâu Spiky Vui Nhộn Phong Cách Hip Hop Thời Trang Cho Nam Và Nữ",5,"Spam","2024-04-14T12:11:38.783653Z","tfh4u0nx32"
40,"1","Xuất hiện: đẹp
Màu sắc: mát mẻ

Cảm ơn Chúa hàng đã đến, hàng tốt và tôi thích nó.","2024-04-14T12:11:59.657815Z",15,15.358,"Mũ Beanie Giả Tóc Giả Hóa Trang Halloween Họa Tiết Đầu Lâu Spiky Vui Nhộn Phong Cách Hip Hop Thời Trang Cho Nam Và Nữ",5,"Spam","2024-04-14T12:11:59.657815Z","kholik050477"
41,"1","Xuất hiện: không tốt🤒
Màu sắc: bình thường

Tôi đã rất ngạc nhiên khi tôi nghĩ những gì trong đó, hóa ra tóc của GK là những gì tôi muốn, tôi không sử dụng nó","2024-04-14T12:12:08.321974Z",16,7.416,"Mũ Beanie Giả Tóc Giả Hóa Trang Halloween Họa Tiết Đầu Lâu Spiky Vui Nhộn Phong Cách Hip Hop Thời Trang Cho Nam Và Nữ",3,"No Spam","2024-04-14T12:12:08.321974Z","r8_7x3c1b8"
42,"1","Màn hình: ok
Màu sắc: tùy chỉnh

Hàng như mô tả, người bán thân thiện, giao hàng hơi lâu vì ở nước ngoài, xin cảm ơn","2024-04-14T12:12:22.690095Z",17,12.549,"Mũ Beanie Giả Tóc Giả Hóa Trang Halloween Họa Tiết Đầu Lâu Spiky Vui Nhộn Phong Cách Hip Hop Thời Trang Cho Nam Và Nữ",5,"Spam","2024-04-14T12:12:22.690095Z","hendry170986"
43,"1","Hàng đã về, giao khá nhanh, nhìn như tóc thật ...","2024-04-14T12:12:30.402486Z",18,6.177,"Mũ Beanie Giả Tóc Giả Hóa Trang Halloween Họa Tiết Đầu Lâu Spiky Vui Nhộn Phong Cách Hip Hop Thời Trang Cho Nam Và Nữ",5,"Spam","2024-04-14T12:12:30.402486Z","c*****y"
44,"1","Tương tự như ad: Có
Chất lượng: tuyệt vời

Bạn có thể mua cưa","2024-04-14T12:13:01.498360Z",19,6.395,"Mũ Beanie Giả Tóc Giả Hóa Trang Halloween Họa Tiết Đầu Lâu Spiky Vui Nhộn Phong Cách Hip Hop Thời Trang Cho Nam Và Nữ",5,"Spam","2024-04-14T12:13:01.498360Z",""
45,"1","Sản phẩm rất tốt, vấn đề là sự chậm trễ để đến nơi!","2024-04-14T12:13:09.558447Z",20,3.264,"Mũ Beanie Giả Tóc Giả Hóa Trang Halloween Họa Tiết Đầu Lâu Spiky Vui Nhộn Phong Cách Hip Hop Thời Trang Cho Nam Và Nữ",5,"No Spam","2024-04-14T12:13:09.558447Z",""
46,"1","Màn hình: ổn định
Màu sắc: phù hợp

Hàng đã về, giao khá nhanh dù từ nước ngoài .. tks shopee & người bán","2024-04-14T12:13:17.787378Z",21,6.772,"Mũ Beanie Giả Tóc Giả Hóa Trang Halloween Họa Tiết Đầu Lâu Spiky Vui Nhộn Phong Cách Hip Hop Thời Trang Cho Nam Và Nữ",5,"No Spam","2024-04-14T12:13:17.787378Z","mukminalhuzaifi83"
47,"1","Đề xuất hiển thị: không có gì đề xuất✨✨✨
Đáng giá: Sản phẩm chất lượng👍
Hoàn hảo cho các sự kiện: lễ hội","2024-04-14T12:13:23.809038Z",22,4.466,"Mũ Beanie Giả Tóc Giả Hóa Trang Halloween Họa Tiết Đầu Lâu Spiky Vui Nhộn Phong Cách Hip Hop Thời Trang Cho Nam Và Nữ",5,"Spam","2024-04-14T12:13:23.809038Z","iswongireng"
48,"1","Màu sắc: Đẹp
Xuất hiện: đẹp quyến rũ

Giá rẻ, vui vẻ, thoải mái khi mặc","2024-04-14T12:13:33.770805Z",23,6.966,"Mũ Beanie Giả Tóc Giả Hóa Trang Halloween Họa Tiết Đầu Lâu Spiky Vui Nhộn Phong Cách Hip Hop Thời Trang Cho Nam Và Nữ",5,"Spam","2024-04-14T12:13:33.770805Z","riandzed"
49,"1","Tương tự như ad: chất lượng tốt.👍","2024-04-14T12:13:38.138374Z",24,2.904,"Mũ Beanie Giả Tóc Giả Hóa Trang Halloween Họa Tiết Đầu Lâu Spiky Vui Nhộn Phong Cách Hip Hop Thời Trang Cho Nam Và Nữ",5,"Spam","2024-04-14T12:13:38.138374Z",""
